Name,EAN/UPC,Brand,Model Type,Model Number,Category,Sub-Category,Brand Color,Color,Compatible Device,Type (Name),Type,Microphone,Warranty,Warranty Summary,Description,Image1,Image2,Image3,Image4,Image5,Image6,Image7,Video URL,Sales Package,Quantity,Tax,Price,Wholesale Price,Firstsale Price,Special Price From,Special Price To,Height,Depth,Weight,Meta Title,Meta Description,Meta Keyword,Key Features
Beats By Dre Mixr Headphone - Black,8.48447E+11,Beats By Dre,Mixr,,Earphones & Headphones,Headphones,Black,Black,"Apple Phones, Apple Ipods, Apple Ipads, Samsung Phones",Headphone,"On The Ear, Stereo",With Microphone,1 Year Warranty,,Beats Mixr headphones deliver extremely deep bass at extraordinarily high volume. Made for pros warming up the party. Rotating earcups to hear the sound around you. Take calls and control music with RemoteTalk cable.,Beats_By_Dre_Mixr_Headphone_Black_1.jpeg,Beats_By_Dre_Mixr_Headphone_Black_2.jpeg,Beats_By_Dre_Mixr_Headphone_Black_3.jpeg,Beats_By_Dre_Mixr_Headphone_Black_4.jpeg,Beats_By_Dre_Mixr_Headphone_Black_5.jpeg,Beats_By_Dre_Mixr_Headphone_Black_6.jpeg,Beats_By_Dre_Mixr_Headphone_Black_7.jpeg,,1,1,5,20750,,,,,,,,,,,
Beats By Dre Solo HD Headphone - Matte Black,8.48447E+11,Beats By Dre,Solo HD,,Earphones & Headphones,Headphones,Matte Black,Matte Black,"Apple Phones, Apple Ipods, Apple Ipads, Samsung Phones",Headphone,"On The Ear, Stereo",With Microphone,1 Year Warranty,,"High-performance with advanced driver design that allows you to enjoy every studio nuance of your favorite music. Advanced driver design for precise audio clarity. Compact and incredibly lightweight, the tri-fold design allows Solos to fit into the included compact carrying case. ",Beats_By_Dre_Solo_HD_Headphone_Matte_Black_1.jpeg,Beats_By_Dre_Solo_HD_Headphone_Matte_Black_2.jpeg,Beats_By_Dre_Solo_HD_Headphone_Matte_Black_3.jpeg,Beats_By_Dre_Solo_HD_Headphone_Matte_Black_4.jpeg,Beats_By_Dre_Solo_HD_Headphone_Matte_Black_5.jpeg,Beats_By_Dre_Solo_HD_Headphone_Matte_Black_6.jpeg,Beats_By_Dre_Solo_HD_Headphone_Matte_Black_7.jpeg,,1,1,5,19000,,,,,,,,,,,
Beats By Dre Solo HD Headphone - White,8.48447E+11,Beats By Dre,Solo HD,,Earphones & Headphones,Headphones,White,White,"Apple Phones, Apple Ipods, Apple Ipads, Samsung Phones",Headphone,"On The Ear, Stereo",With Microphone,1 Year Warranty,,"High-performance with advanced driver design that allows you to enjoy every studio nuance of your favorite music. Advanced driver design for precise audio clarity. Compact and incredibly lightweight, the tri-fold design allows Solos to fit into the included compact carrying case. ",Beats_By_Dre_Solo_HD_Headphone_White_1.jpeg,Beats_By_Dre_Solo_HD_Headphone_White_2.jpeg,Beats_By_Dre_Solo_HD_Headphone_White_3.jpeg,Beats_By_Dre_Solo_HD_Headphone_White_4.jpeg,Beats_By_Dre_Solo_HD_Headphone_White_5.jpeg,Beats_By_Dre_Solo_HD_Headphone_White_6.jpeg,Beats_By_Dre_Solo_HD_Headphone_White_7.jpeg,,1,1,5,19000,,,,,,,,,,,
Beats By Dre Solo HD Headphone - Matte Red,8.48447E+11,Beats By Dre,Solo HD,,Earphones & Headphones,Headphones,Matte Red,Matte Red,"Apple Phones, Apple Ipods, Apple Ipads, Samsung Phones",Headphone,"On The Ear, Stereo",With Microphone,1 Year Warranty,,"High-performance with advanced driver design that allows you to enjoy every studio nuance of your favorite music. Advanced driver design for precise audio clarity. Compact and incredibly lightweight, the tri-fold design allows Solos to fit into the included compact carrying case. ",Beats_By_Dre_Solo_HD_Headphone_Matte_Red_1.jpeg,Beats_By_Dre_Solo_HD_Headphone_Matte_Red_2.jpeg,Beats_By_Dre_Solo_HD_Headphone_Matte_Red_3.jpeg,Beats_By_Dre_Solo_HD_Headphone_Matte_Red_4.jpeg,Beats_By_Dre_Solo_HD_Headphone_Matte_Red_5.jpeg,Beats_By_Dre_Solo_HD_Headphone_Matte_Red_6.jpeg,Beats_By_Dre_Solo_HD_Headphone_Matte_Red_7.jpeg,,1,1,5,19000,,,,,,,,,,,
Beats By Dre Solo 2 Headphone - Blue,8.48447E+11,Beats By Dre,Solo 2,,Earphones & Headphones,Headphones,Blue,Blue,"Apple Phones, Apple Ipods, Apple Ipads, Samsung Phones",Headphone,"On The Ear, Stereo",With Microphone,1 Year Warranty,,"The sound and design you’ve come to expect from our Beats Solo2 is now matched by a refined glossy finish and polished accents. Fine-tuned acoustics for clarity, breadth and balance. Durable and foldable so you can take them on-the-go. Take calls and control music with RemoteTalk cable.",Beats_By_Dre_Solo_2_Headphone_Blue_1.jpeg,Beats_By_Dre_Solo_2_Headphone_Blue_2.jpeg,Beats_By_Dre_Solo_2_Headphone_Blue_3.jpeg,Beats_By_Dre_Solo_2_Headphone_Blue_4.jpeg,Beats_By_Dre_Solo_2_Headphone_Blue_5.jpeg,Beats_By_Dre_Solo_2_Headphone_Blue_6.jpeg,Beats_By_Dre_Solo_2_Headphone_Blue_7.jpeg,,1,1,5,18000,,,,,,,,,,,
Beats By Dre Solo 2 Headphone - White,8.48447E+11,Beats By Dre,Solo 2,,Earphones & Headphones,Headphones,White,White,"Apple Phones, Apple Ipods, Apple Ipads, Samsung Phones",Headphone,"On The Ear, Stereo",With Microphone,1 Year Warranty,,"The sound and design you’ve come to expect from our Beats Solo2 is now matched by a refined glossy finish and polished accents. Fine-tuned acoustics for clarity, breadth and balance. Durable and foldable so you can take them on-the-go. Take calls and control music with RemoteTalk cable.",Beats_By_Dre_Solo_2_Headphone_White_1.jpeg,Beats_By_Dre_Solo_2_Headphone_White_2.jpeg,Beats_By_Dre_Solo_2_Headphone_White_3.jpeg,Beats_By_Dre_Solo_2_Headphone_White_4.jpeg,Beats_By_Dre_Solo_2_Headphone_White_5.jpeg,Beats_By_Dre_Solo_2_Headphone_White_6.jpeg,Beats_By_Dre_Solo_2_Headphone_White_7.jpeg,,1,1,5,18000,,,,,,,,,,,
Beats By Dre Solo 2 Headphone - Red,8.48447E+11,Beats By Dre,Solo 2,,Earphones & Headphones,Headphones,Red,Red,"Apple Phones, Apple Ipods, Apple Ipads, Samsung Phones",Headphone,"On The Ear, Stereo",With Microphone,1 Year Warranty,,"The sound and design you’ve come to expect from our Beats Solo2 is now matched by a refined glossy finish and polished accents. Fine-tuned acoustics for clarity, breadth and balance. Durable and foldable so you can take them on-the-go. Take calls and control music with RemoteTalk cable.",Beats_By_Dre_Solo_2_Headphone_Red_1.jpeg,Beats_By_Dre_Solo_2_Headphone_Red_2.jpeg,Beats_By_Dre_Solo_2_Headphone_Red_3.jpeg,Beats_By_Dre_Solo_2_Headphone_Red_4.jpeg,Beats_By_Dre_Solo_2_Headphone_Red_5.jpeg,Beats_By_Dre_Solo_2_Headphone_Red_6.jpeg,Beats_By_Dre_Solo_2_Headphone_Red_7.jpeg,,1,1,5,18000,,,,,,,,,,,
Beats By Dre Solo 2 Headphone - Black,8.48447E+11,Beats By Dre,Solo 2,,Earphones & Headphones,Headphones,Black,Black,"Apple Phones, Apple Ipods, Apple Ipads, Samsung Phones",Headphone,"On The Ear, Stereo",With Microphone,1 Year Warranty,,"The sound and design you’ve come to expect from our Beats Solo2 is now matched by a refined glossy finish and polished accents. Fine-tuned acoustics for clarity, breadth and balance. Durable and foldable so you can take them on-the-go. Take calls and control music with RemoteTalk cable.",Beats_By_Dre_Solo_2_Headphone_Black_1.jpeg,Beats_By_Dre_Solo_2_Headphone_Black_2.jpeg,Beats_By_Dre_Solo_2_Headphone_Black_3.jpeg,Beats_By_Dre_Solo_2_Headphone_Black_4.jpeg,Beats_By_Dre_Solo_2_Headphone_Black_5.jpeg,Beats_By_Dre_Solo_2_Headphone_Black_6.jpeg,Beats_By_Dre_Solo_2_Headphone_Black_7.jpeg,,1,1,5,18000,,,,,,,,,,,
Beats By Dre Solo 2 Wireless Headphone - Red,8.48447E+11,Beats By Dre,Solo 2 Wireless,,Earphones & Headphones,Headphones,Red,Red,"Apple Phones, Apple Ipods, Apple Ipads, Samsung Phones",Headphone,"On The Ear, Stereo",With Microphone,1 Year Warranty,,"Pair and Play with your Bluetooth device with 30’ range. Fine-tuned acoustics for clarity, breadth and balance. 12 hour rechargeable battery with Fuel Gauge. Take hands-free calls with built-in mic.",Beats_By_Dre_Solo_2_Wireless_Headphone_Red_1.jpeg,Beats_By_Dre_Solo_2_Wireless_Headphone_Red_2.jpeg,Beats_By_Dre_Solo_2_Wireless_Headphone_Red_3.jpeg,Beats_By_Dre_Solo_2_Wireless_Headphone_Red_4.jpeg,Beats_By_Dre_Solo_2_Wireless_Headphone_Red_5.jpeg,Beats_By_Dre_Solo_2_Wireless_Headphone_Red_6.jpeg,Beats_By_Dre_Solo_2_Wireless_Headphone_Red_7.jpeg,,1,1,5,23600,,,,,,,,,,,
Beats By Dre Solo 2 Wireless Headphone - White,8.48447E+11,Beats By Dre,Solo 2 Wireless,,Earphones & Headphones,Headphones,White,White,"Apple Phones, Apple Ipods, Apple Ipads, Samsung Phones",Headphone,"On The Ear, Stereo",With Microphone,1 Year Warranty,,"Pair and Play with your Bluetooth device with 30’ range. Fine-tuned acoustics for clarity, breadth and balance. 12 hour rechargeable battery with Fuel Gauge. Take hands-free calls with built-in mic.",Beats_By_Dre_Solo_2_Wireless_Headphone_White_1.jpeg,Beats_By_Dre_Solo_2_Wireless_Headphone_White_2.jpeg,Beats_By_Dre_Solo_2_Wireless_Headphone_White_3.jpeg,Beats_By_Dre_Solo_2_Wireless_Headphone_White_4.jpeg,Beats_By_Dre_Solo_2_Wireless_Headphone_White_5.jpeg,Beats_By_Dre_Solo_2_Wireless_Headphone_White_6.jpeg,Beats_By_Dre_Solo_2_Wireless_Headphone_White_7.jpeg,,1,1,5,23600,,,,,,,,,,,
Beats By Dre Solo 2 Wireless Headphone - Blue,8.48447E+11,Beats By Dre,Solo 2 Wireless,,Earphones & Headphones,Headphones,Blue,Blue,"Apple Phones, Apple Ipods, Apple Ipads, Samsung Phones",Headphone,"On The Ear, Stereo",With Microphone,1 Year Warranty,,"Pair and Play with your Bluetooth device with 30’ range. Fine-tuned acoustics for clarity, breadth and balance. 12 hour rechargeable battery with Fuel Gauge. Take hands-free calls with built-in mic.",Beats_By_Dre_Solo_2_Wireless_Headphone_Blue_1.jpeg,Beats_By_Dre_Solo_2_Wireless_Headphone_Blue_2.jpeg,Beats_By_Dre_Solo_2_Wireless_Headphone_Blue_3.jpeg,Beats_By_Dre_Solo_2_Wireless_Headphone_Blue_4.jpeg,Beats_By_Dre_Solo_2_Wireless_Headphone_Blue_5.jpeg,Beats_By_Dre_Solo_2_Wireless_Headphone_Blue_6.jpeg,Beats_By_Dre_Solo_2_Wireless_Headphone_Blue_7.jpeg,,1,1,5,23600,,,,,,,,,,,
Beats By Dre Solo 2 Wireless Headphone - Black,8.48447E+11,Beats By Dre,Solo 2 Wireless,,Earphones & Headphones,Headphones,Black,Black,"Apple Phones, Apple Ipods, Apple Ipads, Samsung Phones",Headphone,"On The Ear, Stereo",With Microphone,1 Year Warranty,,"Pair and Play with your Bluetooth device with 30’ range. Fine-tuned acoustics for clarity, breadth and balance. 12 hour rechargeable battery with Fuel Gauge. Take hands-free calls with built-in mic.",Beats_By_Dre_Solo_2_Wireless_Headphone_Black_1.jpeg,Beats_By_Dre_Solo_2_Wireless_Headphone_Black_2.jpeg,Beats_By_Dre_Solo_2_Wireless_Headphone_Black_3.jpeg,Beats_By_Dre_Solo_2_Wireless_Headphone_Black_4.jpeg,Beats_By_Dre_Solo_2_Wireless_Headphone_Black_5.jpeg,Beats_By_Dre_Solo_2_Wireless_Headphone_Black_6.jpeg,Beats_By_Dre_Solo_2_Wireless_Headphone_Black_7.jpeg,,1,1,5,23600,,,,,,,,,,,
Beats By Dre Solo 2 Wireless Headphone - Gold,8.88462E+11,Beats By Dre,Solo 2 Wireless,,Earphones & Headphones,Headphones,Gold,Gold,"Apple Phones, Apple Ipods, Apple Ipads, Samsung Phones",Headphone,"On The Ear, Stereo",With Microphone,1 Year Warranty,,"Pair and Play with your Bluetooth device with 30’ range. Fine-tuned acoustics for clarity, breadth and balance. 12 hour rechargeable battery with Fuel Gauge. Take hands-free calls with built-in mic.",Beats_By_Dre_Solo_2_Wireless_Headphone_Gold_1.jpeg,Beats_By_Dre_Solo_2_Wireless_Headphone_Gold_2.jpeg,Beats_By_Dre_Solo_2_Wireless_Headphone_Gold_3.jpeg,Beats_By_Dre_Solo_2_Wireless_Headphone_Gold_4.jpeg,Beats_By_Dre_Solo_2_Wireless_Headphone_Gold_5.jpeg,Beats_By_Dre_Solo_2_Wireless_Headphone_Gold_6.jpeg,Beats_By_Dre_Solo_2_Wireless_Headphone_Gold_7.jpeg,,1,1,5,23600,,,,,,,,,,,
Beats By Dre Solo 2 Wireless Headphone - Silver,8.88462E+11,Beats By Dre,Solo 2 Wireless,,Earphones & Headphones,Headphones,Silver,Silver,"Apple Phones, Apple Ipods, Apple Ipads, Samsung Phones",Headphone,"On The Ear, Stereo",With Microphone,1 Year Warranty,,"Pair and Play with your Bluetooth device with 30’ range. Fine-tuned acoustics for clarity, breadth and balance. 12 hour rechargeable battery with Fuel Gauge. Take hands-free calls with built-in mic.",Beats_By_Dre_Solo_2_Wireless_Headphone_Silver_1.jpeg,Beats_By_Dre_Solo_2_Wireless_Headphone_Silver_2.jpeg,Beats_By_Dre_Solo_2_Wireless_Headphone_Silver_3.jpeg,Beats_By_Dre_Solo_2_Wireless_Headphone_Silver_4.jpeg,Beats_By_Dre_Solo_2_Wireless_Headphone_Silver_5.jpeg,Beats_By_Dre_Solo_2_Wireless_Headphone_Silver_6.jpeg,Beats_By_Dre_Solo_2_Wireless_Headphone_Silver_7.jpeg,,1,1,5,23600,,,,,,,,,,,
Beats By Dre Solo 2 Wireless Headphone - Space Gray,8.88462E+11,Beats By Dre,Solo 2 Wireless,,Earphones & Headphones,Headphones,Space Gray,Space Gray,"Apple Phones, Apple Ipods, Apple Ipads, Samsung Phones",Headphone,"On The Ear, Stereo",With Microphone,1 Year Warranty,,"Pair and Play with your Bluetooth device with 30’ range. Fine-tuned acoustics for clarity, breadth and balance. 12 hour rechargeable battery with Fuel Gauge. Take hands-free calls with built-in mic.",Beats_By_Dre_Solo_2_Wireless_Headphone_Space_Gray_1.jpeg,Beats_By_Dre_Solo_2_Wireless_Headphone_Space_Gray_2.jpeg,Beats_By_Dre_Solo_2_Wireless_Headphone_Space_Gray_3.jpeg,Beats_By_Dre_Solo_2_Wireless_Headphone_Space_Gray_4.jpeg,Beats_By_Dre_Solo_2_Wireless_Headphone_Space_Gray_5.jpeg,Beats_By_Dre_Solo_2_Wireless_Headphone_Space_Gray_6.jpeg,Beats_By_Dre_Solo_2_Wireless_Headphone_Space_Gray_7.jpeg,,1,1,5,23600,,,,,,,,,,,
